Bloque,Descripción resumida,Sectores clave
E1-1 – Plan de transición y alineación estratégica,"Incluye el plan de transición climático de la empresa, alineación con el Acuerdo de París, objetivos de reducción de emisiones, palancas de descarbonización, Opex/Capex necesario, riesgos de activos bloqueados, aprobación por órganos de administración y progreso en implementación.","Todos los sectores, especialmente energía, industrial, transporte"
E1-2 – Políticas climáticas,"Políticas internas para gestionar impactos, riesgos y oportunidades climáticas, incluyendo mitigación y adaptación; cubre cómo se integran en la gestión y gobierno de la empresa.",Todos los sectores
E1-3 – Acciones y recursos para mitigación y adaptación,"Acciones concretas para reducir emisiones y adaptarse al cambio climático, incluyendo asignación de recursos financieros (Opex/Capex), tipo de soluciones de adaptación y palancas de acción.",Todos los sectores
E1-4 – Seguimiento mediante objetivos de reducción de GEI,"Definición de metas y objetivos cuantitativos de reducción de emisiones (Scope 1, 2 y 3), intensidad, intensidad por ubicación, palancas de descarbonización y revisión de progreso histórico.",Todos los sectores
E1-5 – Consumo de energía,"Reporte de consumo energético total y por fuente (fósil, nuclear, renovable), desglose de consumo propio, adquirido y autogenerado, energía de actividades de alto impacto climático, intensidad energética.","Todos los sectores, especialmente energía, industrial, transporte"
E1-6 – Emisiones GEI,"Emisiones Scope 1, 2 y 3, totales y por categoría; desglose por país, segmento, actividad económica y fuente; intensidad de emisiones y reconciliación con estados financieros; incluye emisiones biogénicas.",Todos los sectores
E1-7 – Remociones de GEI y créditos de carbono,"Remociones y almacenamiento de carbono propias o de la cadena de valor, uso de créditos de carbono, calidad de créditos, cancelación y neutralización de emisiones residuales.",Todos los sectores
E1-8 – Precios internos de carbono,"Aplicación de precios internos de carbono a Scope 1, 2 y 3, cobertura de emisiones, consistencia con precios financieros, tipo de esquema y supuestos críticos.",Todos los sectores
E1-9 – Activos en riesgo físico y de transición,"Evaluación de activos y actividades expuestos a riesgos físicos (agudos y crónicos) y de transición, impactos financieros, anticipación de pérdidas, margen erosionado, ingresos afectados y oportunidades de productos y servicios bajos en carbono.","Todos los sectores, especialmente energía, industrial, transporte, construcción"
E2-1 – Políticas de gestión de contaminación,"Políticas internas para gestionar impactos, riesgos y oportunidades relacionados con la contaminación de aire, agua y suelo; incluye mitigación de sustancias de preocupación y de muy alta preocupación, prevención de incidentes y emergencias, alineación con el Plan de Acción de la UE hacia la contaminación cero, y resultados de consultas o evaluaciones de materialidad.","Todos los sectores, especialmente industria química, farmacéutica, energética, alimentación, construcción"
E2-2 – Acciones y recursos para mitigación de la contaminación,Acciones implementadas para prevenir y controlar la contaminación en operaciones propias y cadena de valor; asignación de recursos financieros y humanos (Opex/Capex); aplicación de la jerarquía de mitigación; seguimiento de planes a nivel de instalación/sitio.,"Todos los sectores, especialmente industria química, farmacéutica, energía, construcción, transporte"
E2-3 – Seguimiento mediante objetivos relacionados con contaminación,"Objetivos cuantitativos y cualitativos de prevención y control de contaminantes en aire, agua, suelo y sustancias de preocupación; consideración de umbrales ecológicos y asignaciones específicas; obligatoriedad/voluntariedad de metas; seguimiento de implementación en sitio.","Todos los sectores, especialmente industria química, energía, agricultura, alimentación"
E2-4 – Medición y reporte de emisiones,"Información de emisiones de contaminantes a aire, agua y suelo, desglosadas por sector, sitio, tipo de fuente o área geográfica; microplásticos generados o usados; metodologías de medición y recopilación de datos; cumplimiento con BAT-AELs y otras normas ambientales; cambios en el tiempo y desempeño frente a límites regulatorios.","Todos los sectores, especialmente industria química, farmacéutica, energética, alimentación, construcción"
E2-5 – Sustancias de preocupación y de muy alta preocupación (SVHC),"Cantidad de sustancias de preocupación y SVHC generadas, usadas, emitidas o incorporadas a productos y servicios; desglose por clase de peligrosidad; seguimiento a nivel de instalación y cadena de valor.","Todos los sectores, especialmente industria química, farmacéutica, electrónica, automoción, construcción"
E2-6 – Impacto financiero y riesgos asociados a contaminación,"Efectos financieros esperados de riesgos y oportunidades relacionados con la contaminación; ingresos asociados a productos/servicios con sustancias de preocupación/SVHC; gastos de operación y capital, provisiones de protección ambiental; descripción de incidentes y depósitos significativos con impacto ambiental y financiero; supuestos críticos y horizonte temporal de riesgos.","Todos los sectores, especialmente industria química, energía, construcción, transporte, alimentación"
E3-1 – Políticas de gestión del agua y recursos marinos,"Políticas para gestionar impactos, riesgos y oportunidades relacionados con el uso y protección de agua y recursos marinos; cubre gestión de consumo, tratamiento de aguas, prevención de contaminación, diseño de productos y servicios sostenibles, y preservación de ecosistemas acuáticos. Incluye compromisos con zonas de alto riesgo hídrico, océanos y mares sostenibles, y contribución a calidad ecológica y química de aguas superficiales y subterráneas.","Industria química, energía, alimentación, agricultura, pesca, acuicultura, turismo costero, construcción"
E3-2 – Acciones y recursos para la gestión de agua y recursos marinos,"Acciones y recursos implementados para prevenir y controlar impactos sobre agua y recursos marinos, incluyendo operaciones propias y cadena de valor. Aplicación de jerarquía de mitigación y participación en acciones colectivas. Incluye medidas específicas para áreas de riesgo hídrico.","Industria química, energía, agricultura, acuicultura, alimentación, construcción, transporte"
E3-3 – Seguimiento mediante objetivos relacionados con agua y recursos marinos,"Objetivos cuantitativos y cualitativos sobre reducción de consumos de agua, gestión responsable de recursos marinos y disminución de vertidos. Considera umbrales ecológicos y asignaciones específicas, obligatoriedad basada en legislación, seguimiento a nivel de instalación y reporte sectorial.","Industria química, energía, agricultura, alimentación, acuicultura, pesca, construcción"
E3-4 – Medición y reporte de agua,"Información de consumo total de agua, agua reciclada/reutilizada, almacenamiento, intensidad de uso (ratio), total de extracciones y vertidos. Datos desglosados por sector, segmento, sitio y áreas de riesgo hídrico; metodología de medición, estimaciones y extrapolaciones.","Todos los sectores con consumo significativo de agua, especialmente agricultura, alimentación, industria química, energía, acuicultura"
